Kabupaten/Kota,Produksi Jahe (kilogram) (Kg),Produksi Kapulaga (kilogram) (Kg),Produksi Keji Beling (kilogram) (Kg),Produksi Kencur (kilogram) (Kg),Produksi Kunyit (kilogram) (Kg),Produksi Laos/Lengkuas (kilogram) (Kg),Produksi Lempuyang (kilogram) (Kg),Produksi Lidah Buaya (kilogram) (Kg),Produksi Mahkota Dewa (kilogram) (Kg),Produksi Mengkudu/Pace (kilogram) (Kg),Produksi Sambiloto (kilogram) (Kg),Produksi Temuireng (kilogram) (Kg),Produksi Temukunci (kilogram) (Kg),Produksi Temulawak (kilogram) (Kg),Produksi Jeruk Nipis (kilogram) (Kg),Produksi Serai (kilogram) (Kg),Tahun,Luas Panen Jahe (meter persegi) (M2),Luas Panen Kapulaga (meter persegi) (M2),Luas Panen Keji Beling (meter persegi) (M2),Luas Panen Kencur (meter persegi) (M2),Luas Panen Kunyit (meter persegi) (M2),Luas Panen Laos/Lengkuas (meter persegi) (M2),Luas Panen Lempuyang (meter persegi) (M2),Luas Panen Lidah Buaya (meter persegi) (M2),Luas Panen Mahkota Dewa (pohon) (Pohon),Luas Panen Mengkudu/Pace (pohon) (Pohon),Luas Panen Sambiloto (meter persegi) (M2),Luas Panen Temuireng (meter persegi) (M2),Luas Panen Temukunci (meter persegi) (M2),Luas Panen Temulawak (meter persegi) (M2),Luas Panen Jeruk Nipis (pohon) (Pohon),Luas Panen Serai (meter persegi) (Pohon)
Kota Cirebon,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,2023,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
Kota Bekasi,93430.0,0.0,0.0,45758.0,21041.0,282885.0,37500.0,150.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,36952.0,0.0,0.0,20443.0,14396.0,72675.0,11000.0,100.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
Kota Depok,2270.0,0.0,0.0,1220.0,1610.0,3881.0,0.0,1303.0,0.0,0.0,0.0,0.0,0.0,0.0,1450.0,19860.0,2023,7310.0,0.0,0.0,3200.0,3150.0,5930.0,0.0,905.0,0.0,0.0,0.0,0.0,0.0,0.0,290.0,6620.0
Kota Cimahi,2390.0,0.0,0.0,44.0,435.0,238.0,32.0,0.0,0.0,0.0,60.0,0.0,0.0,70.0,8800.0,0.0,2023,750.0,0.0,0.0,15.0,140.0,30.0,10.0,0.0,0.0,0.0,50.0,0.0,0.0,15.0,400.0,0.0
Kota Tasikmalaya,1005080.0,20145.0,0.0,2870.0,20760.0,24800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1400.0,2400.0,10000.0,2023,205040.0,10080.0,0.0,3230.0,5950.0,10800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1400.0,200.0,2300.0
Kota Banjar,33525.0,2732.0,0.0,32300.0,21480.0,21300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17200.0,0.0,2023,8700.0,1802.0,0.0,11300.0,6575.0,4600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.0,0.0
Jawa Barat,39976740.0,75387335.0,0.0,15248833.0,22447402.0,15967432.0,152777.0,264898.0,221068.0,1005409.0,28898.0,34641.0,1143424.0,195067.0,4944033.0,7615985.0,2023,14065325.0,32484486.0,0.0,5076258.0,7675010.0,2910707.0,49145.0,86828.0,7660.0,49374.0,12273.0,21666.0,151460.0,94358.0,214161.0,1169475.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Catatan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angka tetap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bogor,7600865.0,129393.0,0.0,2776168.0,1293111.0,17819907.0,6300.0,69087.0,0.0,800.0,7740.0,0.0,743500.0,19700.0,253440.0,3571047.0,2024,972145.0,81573.0,0.0,341168.0,233481.0,1541172.0,1650.0,41950.0,0.0,100.0,7440.0,0.0,62300.0,6900.0,19650.0,472321.0
Sukabumi,1896715.0,5602791.0,0.0,280095.0,514325.0,73660.0,725.0,0.0,0.0,345.0,0.0,0.0,0.0,102600.0,382380.0,446715.0,2024,1049135.0,2549150.0,0.0,97425.0,215160.0,18805.0,355.0,0.0,0.0,345.0,0.0,0.0,0.0,20050.0,23835.0,42400.0
Cianjur,7121555.0,24648691.0,0.0,725506.0,1629465.0,1239441.0,1332.0,35185.0,45140.0,452503.0,0.0,0.0,93.0,2990.0,1574706.0,1712742.0,2024,1806541.0,3610756.0,0.0,243353.0,476279.0,113040.0,271.0,3645.0,2403.0,16084.0,0.0,0.0,45.0,570.0,34114.0,168237.0
Bandung,722944.0,215236.0,0.0,87210.0,447046.0,102434.0,0.0,14316.0,25583.0,5884.0,2932.0,2416.0,3057.0,28395.0,335363.0,395125.0,2024,302889.0,40365.0,0.0,18995.0,82604.0,22225.0,0.0,1949.0,777.0,216.0,817.0,610.0,674.0,8871.0,15625.0,75611.0
Garut,13753701.0,43658227.0,0.0,198150.0,16759112.0,375645.0,0.0,11318.0,0.0,1721.0,0.0,0.0,0.0,0.0,263224.0,403742.0,2024,4684903.0,22997079.0,0.0,113146.0,5759287.0,118058.0,0.0,3630.0,0.0,600.0,0.0,0.0,0.0,0.0,37841.0,92304.0
